,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__alpha,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__max_iter,param_mlpclassifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
51,0.02272491455078125,0.006533225111372981,0.0015012741088867188,0.00030430977852563486,1e-06,"(3, 1)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",1.0,0.9473684210526315,0.9473684210526315,0.8947368421052632,0.95,0.9478947368421051,0.03330377267275026,189
75,0.06066122055053711,0.03391736338763761,0.001924896240234375,0.000775982625076759,1e-06,"(4, 1)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.9473684210526315,0.8421052631578947,1.0,1.0,0.95,0.9478947368421051,0.05766461442022039,189
72,0.0448246955871582,0.02205664790086681,0.004098272323608399,0.005624826705637892,1e-06,"(4, 1)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.9473684210526315,0.8421052631578947,1.0,1.0,0.95,0.9478947368421051,0.05766461442022039,189
244,1.7640588760375977,0.10875626143868085,0.0016738414764404298,0.000622265669540486,0.0001,"(3, 1)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.95,0.9478947368421051,0.0010526315789473716,189
243,0.019056320190429688,0.003958756131832762,0.0013476371765136718,3.8956924628798966e-05,0.0001,"(3, 1)",100000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",1.0,0.9473684210526315,0.9473684210526315,0.8947368421052632,0.95,0.9478947368421051,0.03330377267275026,189
145,1.706165647506714,0.08839438483202293,0.0013798713684082032,5.156120251868621e-05,1e-05,"(3, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.95,0.9478947368421051,0.0010526315789473716,189
45,0.04287080764770508,0.023380395364447235,0.0013850212097167968,4.4449152668818045e-05,1e-06,"(2, 4)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.9473684210526315,0.9473684210526315,1.0,1.0,0.8,0.9389473684210525,0.07335263743235512,203
42,0.03815517425537109,0.017445555546553547,0.0013051509857177734,2.5298177389232668e-05,1e-06,"(2, 4)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.9473684210526315,0.9473684210526315,1.0,1.0,0.8,0.9389473684210525,0.07335263743235512,203
245,2.5359652519226072,0.08761865870146746,0.001425457000732422,7.625018295214594e-05,0.0001,"(3, 1)",100000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,0.85,0.9384210526315788,0.048683499283567064,205
242,2.48941855430603,0.16016305361263802,0.0022892475128173826,0.00116181949850462,0.0001,"(3, 1)",10000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,0.85,0.9384210526315788,0.048683499283567064,205
