,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_class_weight,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,71.5917977809906,1.9405950253011144,1.3535483360290528,0.2642975302121493,5000,2,1,30,balanced,False,"{'n_estimators': 5000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'class_weight': 'balanced', 'bootstrap': False}",0.9589442815249267,0.9671641791044776,0.9473684210526315,0.9689265536723164,0.7511848341232228,0.918717653895515,0.08411217884658742,1
2,62.69712266921997,0.34625392237479324,1.7506065368652344,0.07853188089202567,5000,2,1,20,balanced_subsample,True,"{'n_estimators': 5000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.956268221574344,0.9698795180722891,0.9447513812154696,0.9772079772079773,0.7393364928909952,0.917488718192215,0.08977360844583038,2
0,37.02385296821594,0.3548470378148022,1.2316063404083253,0.06546924009735168,3500,2,1,,balanced,True,"{'n_estimators': 3500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'class_weight': 'balanced', 'bootstrap': True}",0.956268221574344,0.9696969696969697,0.9445983379501385,0.9744318181818182,0.7405660377358491,0.9171122770278239,0.08889086100123855,3
4,51.545594215393066,3.9497990402103476,1.1102511405944824,0.01770553916465401,5000,10,1,,balanced_subsample,False,"{'n_estimators': 5000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None, 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.9565217391304348,0.9672619047619048,0.9452054794520548,0.9717514124293786,0.7321016166281755,0.9145684304803897,0.09169443024545364,4
3,45.27079224586487,1.4997472061461254,0.8710364818572998,0.2082323737394118,3500,2,2,,balanced,False,"{'n_estimators': 3500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'class_weight': 'balanced', 'bootstrap': False}",0.956268221574344,0.9640718562874252,0.945054945054945,0.9717514124293786,0.7314814814814815,0.9137255833655148,0.09154896141063382,5
