,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__cat__imputer,param_columntransformer__num__imputer,param_kneighborsclassifier__n_neighbors,param_kneighborsclassifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
114,0.020880365371704103,0.0003139666402617614,0.020338916778564455,0.0003638074589784947,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),11,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'uniform'}",0.7028985507246377,0.9565217391304348,0.927536231884058,0.782608695652174,0.9057971014492754,0.855072463768116,0.09646122488286224,46
147,0.017333602905273436,0.003100876518526675,0.014202642440795898,0.0024685142175814765,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),43,distance,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 43, 'kneighborsclassifier__weights': 'distance'}",0.7246376811594203,0.9565217391304348,0.9130434782608695,0.7753623188405797,0.9057971014492754,0.855072463768116,0.08898597932178987,46
197,0.027407455444335937,0.0005409364260068549,0.02066807746887207,0.00016688206500570487,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),41,distance,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 41, 'kneighborsclassifier__weights': 'distance'}",0.7318840579710145,0.9565217391304348,0.9130434782608695,0.7753623188405797,0.8985507246376812,0.855072463768116,0.08610696102906056,46
91,0.01690397262573242,0.0005580287278259019,0.014346694946289063,0.00172620890845267,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),39,distance,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'distance'}",0.717391304347826,0.9565217391304348,0.927536231884058,0.7753623188405797,0.8985507246376812,0.855072463768116,0.09245877047963237,46
34,0.01682910919189453,0.0005001016784960309,0.019388675689697266,0.002023818829653643,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),35,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9637681159420289,0.927536231884058,0.782608695652174,0.9057971014492754,0.855072463768116,0.10030409549564219,46
142,0.02123546600341797,0.0010389746835571126,0.021900701522827148,0.0008256687358191775,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),39,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'uniform'}",0.7101449275362319,0.9710144927536232,0.9130434782608695,0.782608695652174,0.8985507246376812,0.855072463768116,0.09481407092055723,46
76,0.018859291076660158,0.0008311703436005318,0.020389270782470704,0.0018062690331270522,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),25,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9710144927536232,0.9130434782608695,0.782608695652174,0.9130434782608695,0.8550724637681159,0.10082624423725267,58
24,0.02089376449584961,0.0070440337610205685,0.021236705780029296,0.005382061354017884,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),25,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9710144927536232,0.9130434782608695,0.782608695652174,0.9130434782608695,0.8550724637681159,0.10082624423725267,58
27,0.017663860321044923,0.001069765759227498,0.015004491806030274,0.003318565828553497,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),27,distance,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 27, 'kneighborsclassifier__weights': 'distance'}",0.7028985507246377,0.9637681159420289,0.927536231884058,0.7753623188405797,0.8985507246376812,0.8536231884057971,0.09844410259560402,60
146,0.02207913398742676,0.0006145304361321923,0.02257094383239746,0.0002958191276986269,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),43,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 43, 'kneighborsclassifier__weights': 'uniform'}",0.717391304347826,0.9637681159420289,0.9202898550724637,0.7681159420289855,0.8985507246376812,0.8536231884057971,0.09430317962317356,60
82,0.01720280647277832,0.0005192158798606767,0.018552207946777345,0.001692433058712557,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),31,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__weights': 'uniform'}",0.7028985507246377,0.9637681159420289,0.927536231884058,0.782608695652174,0.8913043478260869,0.8536231884057971,0.09672216645486133,60
198,0.021860694885253905,0.0036309140801673153,0.020353221893310548,0.0030153602286377024,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),43,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 43, 'kneighborsclassifier__weights': 'uniform'}",0.717391304347826,0.9637681159420289,0.9202898550724637,0.7681159420289855,0.8985507246376812,0.8536231884057971,0.09430317962317356,60
86,0.018083763122558594,0.0006653850256306169,0.019648122787475585,0.0016196660333860854,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),35,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9637681159420289,0.927536231884058,0.782608695652174,0.8985507246376812,0.8536231884057971,0.09961066827501207,60
30,0.015407752990722657,0.002753607500950121,0.01929326057434082,0.0015527409350700662,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),31,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__weights': 'uniform'}",0.7028985507246377,0.9637681159420289,0.927536231884058,0.782608695652174,0.8913043478260869,0.8536231884057971,0.09672216645486133,60
88,0.019147348403930665,0.0010380653311728555,0.02036585807800293,0.0019385220713601082,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),37,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 37, 'kneighborsclassifier__weights': 'uniform'}",0.7028985507246377,0.9637681159420289,0.927536231884058,0.7753623188405797,0.8985507246376812,0.8536231884057971,0.09844410259560402,60
89,0.018836355209350585,0.0015567381042132394,0.014219951629638673,0.0030607235508185,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),37,distance,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 37, 'kneighborsclassifier__weights': 'distance'}",0.7101449275362319,0.9565217391304348,0.927536231884058,0.7753623188405797,0.8985507246376812,0.8536231884057971,0.09463668241921452,60
92,0.017850589752197266,0.0019243694123873122,0.01935744285583496,0.00460314950845641,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),41,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 41, 'kneighborsclassifier__weights': 'uniform'}",0.717391304347826,0.9637681159420289,0.9202898550724637,0.7681159420289855,0.8985507246376812,0.8536231884057971,0.09430317962317356,60
