,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__cat__imputer,param_columntransformer__num__imputer,param_columntransformer__num__scaler,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
86,0.0227938175201416,0.0010609387748683268,0.0070760250091552734,7.026272787233055e-05,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),passthrough,gini,8,best,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 8, 'decisiontreeclassifier__splitter': 'best'}",0.6594202898550725,0.8913043478260869,0.8623188405797102,0.7536231884057971,0.8623188405797102,0.8057971014492754,0.08700481750610801,71
15,0.01884140968322754,0.0013020328589400478,0.008057498931884765,0.00030431165393749165,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),passthrough,gini,12,random,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 12, 'decisiontreeclassifier__splitter': 'random'}",0.7101449275362319,0.8840579710144928,0.8405797101449275,0.7318840579710145,0.855072463768116,0.8043478260869567,0.06980634538430315,77
72,0.020006847381591798,0.0009310316202772085,0.008000946044921875,0.00039327309325683604,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),passthrough,entropy,11,best,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 11, 'decisiontreeclassifier__splitter': 'best'}",0.6884057971014492,0.8840579710144928,0.8478260869565217,0.7608695652173914,0.8405797101449275,0.8043478260869567,0.07055455909935124,77
36,0.020253944396972656,0.0013077566191927496,0.0074631690979003905,0.0009879607296760292,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),passthrough,entropy,13,best,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 13, 'decisiontreeclassifier__splitter': 'best'}",0.6884057971014492,0.8623188405797102,0.855072463768116,0.7463768115942029,0.8695652173913043,0.8043478260869567,0.0734712571341251,77
131,0.023419761657714845,0.0030518353146904236,0.007222127914428711,0.00024136964715992684,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),passthrough,gini,10,random,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 10, 'decisiontreeclassifier__splitter': 'random'}",0.6376811594202898,0.927536231884058,0.8695652173913043,0.7318840579710145,0.855072463768116,0.8043478260869564,0.10490991925132671,80
75,0.021842193603515626,0.005175478864009899,0.00872035026550293,0.0015992862904670062,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),passthrough,entropy,12,random,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 12, 'decisiontreeclassifier__splitter': 'random'}",0.644927536231884,0.8985507246376812,0.8768115942028986,0.7681159420289855,0.8333333333333334,0.8043478260869564,0.09131584928709198,80
154,0.023143291473388672,0.0004814912641582675,0.006995439529418945,0.00011221944885473787,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),passthrough,entropy,12,best,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 12, 'decisiontreeclassifier__splitter': 'best'}",0.6956521739130435,0.8695652173913043,0.8478260869565217,0.7391304347826086,0.8695652173913043,0.8043478260869564,0.07275304578557179,80
88,0.023902273178100585,0.0008213128342167358,0.007386350631713867,0.00019334706632434566,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),passthrough,gini,9,best,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 9, 'decisiontreeclassifier__splitter': 'best'}",0.6521739130434783,0.8840579710144928,0.8478260869565217,0.7681159420289855,0.8623188405797102,0.8028985507246377,0.08492803086367312,83
29,0.01729617118835449,0.001429486293607579,0.007592487335205078,0.000843801924650287,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),passthrough,entropy,9,random,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 9, 'decisiontreeclassifier__splitter': 'random'}",0.6739130434782609,0.9130434782608695,0.855072463768116,0.7028985507246377,0.8695652173913043,0.8028985507246377,0.0958495986306461,83
33,0.01871318817138672,0.001053225350710858,0.007880020141601562,0.0002927863790827124,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),passthrough,entropy,11,random,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 11, 'decisiontreeclassifier__splitter': 'random'}",0.6304347826086957,0.9202898550724637,0.8695652173913043,0.7391304347826086,0.855072463768116,0.8028985507246377,0.10464932289006201,83
11,0.018343305587768553,0.0012563291109664908,0.007618618011474609,0.0008540089392408095,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),passthrough,gini,10,random,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 10, 'decisiontreeclassifier__splitter': 'random'}",0.6666666666666666,0.8840579710144928,0.8985507246376812,0.7028985507246377,0.8623188405797102,0.8028985507246377,0.09780192938436517,83
