,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__alpha,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__max_iter,param_mlpclassifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
197,1.0512063026428222,0.048596298663986216,0.0009999752044677734,2.9431090899727283e-05,1e-05,"(2, 2)",100000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 2), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.9649122807017544,0.9122807017543859,0.9649122807017544,0.9824561403508771,0.9824561403508771,0.9614035087719298,0.025784102555612403,337
194,1.0550852775573731,0.052662472323156226,0.0010027408599853516,1.7515183637490828e-05,1e-05,"(2, 2)",10000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 2), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.9649122807017544,0.9122807017543859,0.9649122807017544,0.9824561403508771,0.9824561403508771,0.9614035087719298,0.025784102555612403,337
191,1.0808237552642823,0.05761207259748926,0.001055908203125,4.435877457992666e-05,1e-05,"(2, 2)",1000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 2), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'adam'}",0.9649122807017544,0.9122807017543859,0.9649122807017544,0.9824561403508771,0.9824561403508771,0.9614035087719298,0.025784102555612403,337
114,0.060585641860961915,0.029563806095884725,0.001011800765991211,3.9358394382573757e-05,1e-06,"(4, 1)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.8947368421052632,0.9614035087719298,0.03907203061635103,337
111,0.06178102493286133,0.029994202342788163,0.0010141372680664063,8.066303426281166e-06,1e-06,"(4, 1)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.8947368421052632,0.9614035087719298,0.03907203061635103,337
338,1.0594576358795167,0.05541762654761642,0.0010175228118896485,1.7510639516654327e-05,0.0001,"(2, 2)",10000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 2), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.9649122807017544,0.9122807017543859,0.9649122807017544,0.9824561403508771,0.9824561403508771,0.9614035087719298,0.025784102555612403,337
213,0.04792284965515137,0.017547531875416633,0.0010266304016113281,1.7073167600601346e-05,1e-05,"(2, 4)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9298245614035088,0.9649122807017544,1.0,0.9298245614035088,0.9578947368421054,0.026257244819466254,361
210,0.04722919464111328,0.016776322798104468,0.001035165786743164,1.796252600279159e-05,1e-05,"(2, 4)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9298245614035088,0.9649122807017544,1.0,0.9298245614035088,0.9578947368421054,0.026257244819466254,361
207,0.04741406440734863,0.01695739251106205,0.0010136604309082032,2.5402310838994055e-05,1e-05,"(2, 4)",1000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9298245614035088,0.9649122807017544,1.0,0.9298245614035088,0.9578947368421054,0.026257244819466254,361
402,0.05027694702148437,0.014618278795449422,0.0010264396667480468,2.6355510544448715e-05,0.0001,"(4, 1)",100000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.8947368421052632,0.9508771929824562,0.03401880601695667,364
252,0.03977670669555664,0.015763643136343188,0.0010164260864257812,1.828557039543176e-05,1e-05,"(4, 1)",1000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.8947368421052632,0.9508771929824562,0.03401880601695667,364
399,0.049036073684692386,0.013167560763630263,0.0010017871856689454,2.8721434320992113e-05,0.0001,"(4, 1)",10000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.8947368421052632,0.9508771929824562,0.03401880601695667,364
396,0.051589345932006835,0.014219088814966538,0.0011147499084472657,6.508304938298132e-05,0.0001,"(4, 1)",1000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.8947368421052632,0.9508771929824562,0.03401880601695667,364
258,0.03910055160522461,0.01550365428176909,0.0009950160980224609,2.258446968991711e-05,1e-05,"(4, 1)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.8947368421052632,0.9508771929824562,0.03401880601695667,364
255,0.03971805572509766,0.01518466207331223,0.0010067939758300782,2.2876458343615184e-05,1e-05,"(4, 1)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.9649122807017544,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.8947368421052632,0.9508771929824562,0.03401880601695667,364
329,1.1359610557556152,0.6675234142964426,0.0010135650634765625,1.9930082001306462e-05,0.0001,"(2, 1)",10000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.9824561403508771,0.9649122807017544,1.0,0.6666666666666666,0.6491228070175439,0.8526315789473683,0.15948516740159313,370
41,1.1327142715454102,0.6721149930971234,0.0010145187377929687,4.164795211571942e-05,1e-06,"(2, 1)",10000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.9824561403508771,0.9649122807017544,1.0,0.6666666666666666,0.6491228070175439,0.8526315789473683,0.15948516740159313,370
38,1.1346676826477051,0.6697996430904094,0.001005268096923828,8.67476752568575e-06,1e-06,"(2, 1)",1000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'adam'}",0.9824561403508771,0.9649122807017544,1.0,0.6666666666666666,0.6491228070175439,0.8526315789473683,0.15948516740159313,370
326,1.1431318283081056,0.6748696559266926,0.0010284900665283204,2.8121428451246545e-05,0.0001,"(2, 1)",1000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'adam'}",0.9824561403508771,0.9649122807017544,1.0,0.6666666666666666,0.6491228070175439,0.8526315789473683,0.15948516740159313,370
44,1.1256778240203857,0.6649940619558417,0.0010273456573486328,2.3737679804130346e-05,1e-06,"(2, 1)",100000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.9824561403508771,0.9649122807017544,1.0,0.6666666666666666,0.6491228070175439,0.8526315789473683,0.15948516740159313,370
185,1.1510681629180908,0.6797097958242759,0.0010211944580078125,3.719066952927498e-05,1e-05,"(2, 1)",10000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.9824561403508771,0.9649122807017544,1.0,0.6666666666666666,0.6491228070175439,0.8526315789473683,0.15948516740159313,370
188,1.152370309829712,0.6830053379146137,0.0010211467742919922,1.3495418260655313e-05,1e-05,"(2, 1)",100000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.9824561403508771,0.9649122807017544,1.0,0.6666666666666666,0.6491228070175439,0.8526315789473683,0.15948516740159313,370
332,1.1356915473937987,0.6712890193349315,0.0010227203369140626,2.4763232982051823e-05,0.0001,"(2, 1)",100000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.9824561403508771,0.9649122807017544,1.0,0.6666666666666666,0.6491228070175439,0.8526315789473683,0.15948516740159313,370
182,1.149214267730713,0.6866349725885783,0.0010132789611816406,2.6639795716060134e-05,1e-05,"(2, 1)",1000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'adam'}",0.9824561403508771,0.9649122807017544,1.0,0.6666666666666666,0.6491228070175439,0.8526315789473683,0.15948516740159313,370
187,1.3538949012756347,1.2173633083076048,0.0010767459869384765,0.00011755321308601977,1e-05,"(2, 1)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.9473684210526315,0.6666666666666666,0.9824561403508771,0.6491228070175439,0.7824561403508772,0.14952474212394745,379
40,1.3350011825561523,1.201933311004732,0.0010311126708984375,2.8594887116553272e-05,1e-06,"(2, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.9473684210526315,0.6666666666666666,0.9824561403508771,0.6491228070175439,0.7824561403508772,0.14952474212394745,379
328,1.324903392791748,1.1910912184220102,0.0010589122772216796,7.074640581504567e-05,0.0001,"(2, 1)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.9473684210526315,0.6666666666666666,0.9824561403508771,0.6491228070175439,0.7824561403508772,0.14952474212394745,379
43,1.327689027786255,1.1909517169826689,0.0010179996490478516,3.356181678224892e-05,1e-06,"(2, 1)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.9473684210526315,0.6666666666666666,0.9824561403508771,0.6491228070175439,0.7824561403508772,0.14952474212394745,379
184,1.35764479637146,1.2285034845563219,0.0010527610778808595,7.434265966559346e-05,1e-05,"(2, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.9473684210526315,0.6666666666666666,0.9824561403508771,0.6491228070175439,0.7824561403508772,0.14952474212394745,379
331,1.3207341194152833,1.180948981957739,0.001027059555053711,1.963527180938838e-05,0.0001,"(2, 1)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.9473684210526315,0.6666666666666666,0.9824561403508771,0.6491228070175439,0.7824561403508772,0.14952474212394745,379
181,0.8987581729888916,0.656816971433501,0.0010116100311279297,2.377165950410414e-05,1e-05,"(2, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.9298245614035088,0.6666666666666666,0.9824561403508771,0.6491228070175439,0.7789473684210526,0.145772477739235,385
37,0.8767390251159668,0.638864094077342,0.0010451793670654297,6.059649157981348e-05,1e-06,"(2, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.9298245614035088,0.6666666666666666,0.9824561403508771,0.6491228070175439,0.7789473684210526,0.145772477739235,385
325,0.8849455356597901,0.6551212068619552,0.001029062271118164,4.1538620203559104e-05,0.0001,"(2, 1)",1000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.9298245614035088,0.6666666666666666,0.9824561403508771,0.6491228070175439,0.7789473684210526,0.145772477739235,385
150,0.007966232299804688,6.945725342729724e-05,0.0009426593780517579,1.3518480606219893e-05,1e-05,"(1, 1)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
1,0.7096679210662842,0.02333237176025661,0.0010110855102539063,4.8664123069859764e-05,1e-06,"(1, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
109,0.10832328796386718,0.05169133169199464,0.001019287109375,2.0741265363656403e-05,1e-06,"(4, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
3,0.0069692134857177734,0.0017213433068457274,0.0008717060089111328,0.00013500828821932882,1e-06,"(1, 1)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
4,0.7155227184295654,0.008774332448327904,0.0009689807891845703,6.346725862203821e-05,1e-06,"(1, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
5,2.182834434509277,0.017542107245783273,0.0009832382202148438,2.6466395333289437e-05,1e-06,"(1, 1)",10000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
82,0.33680171966552735,0.004630529948884495,0.0010276317596435546,2.3353048098644637e-05,1e-06,"(3, 2)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 2), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
112,0.10988869667053222,0.05225928199944919,0.0010266780853271484,1.4979367071889223e-05,1e-06,"(4, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
88,0.34157185554504393,0.006946689289305086,0.0010143280029296874,3.763770868646165e-05,1e-06,"(3, 2)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 2), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
151,0.7072707176208496,0.0070587894853292085,0.000988006591796875,1.833685336270789e-05,1e-05,"(1, 1)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
152,2.1856367588043213,0.012351370133091418,0.0010223388671875,2.9025638315458417e-05,1e-05,"(1, 1)",100000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
115,0.10640802383422851,0.049783942159713795,0.001015949249267578,2.2744382689972377e-05,1e-06,"(4, 1)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
144,0.00818629264831543,9.692744813874218e-05,0.0009844303131103516,2.4870154991640566e-05,1e-05,"(1, 1)",1000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
145,0.7073712348937988,0.010989591126156582,0.0009981632232666016,3.998375534925947e-05,1e-05,"(1, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
147,0.008084774017333984,0.00020502295534309688,0.0009750843048095704,1.8350735905637256e-05,1e-05,"(1, 1)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
148,0.7092101097106933,0.018939033050210538,0.0010277748107910157,6.582173496406855e-05,1e-05,"(1, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6491228070175439,0.6631578947368422,0.0070175438596491,388
