,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_class_weight,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,71.44367141723633,0.9265567887910607,1.4991036415100099,0.2509261287808447,5000,2,1,30,balanced,False,"{'n_estimators': 5000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'class_weight': 'balanced', 'bootstrap': False}",0.9457111834961998,0.9456521739130435,0.9565217391304348,0.967391304347826,0.8369565217391305,0.930446584525327,0.04743297540863234,1
4,51.18336586952209,3.1288669899309896,1.089664363861084,0.012029241634151934,5000,10,1,,balanced_subsample,False,"{'n_estimators': 5000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None, 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.9478827361563518,0.9467391304347826,0.9586956521739131,0.9695652173913043,0.825,0.9295765472312704,0.05293947687656351,2
2,62.535190963745116,0.5298532512753995,1.6880157947540284,0.03448586467966584,5000,2,1,20,balanced_subsample,True,"{'n_estimators': 5000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.9457111834961998,0.9445652173913044,0.9554347826086956,0.9706521739130435,0.8260869565217391,0.9284900627861964,0.05204812255534669,3
0,37.01436181068421,0.4496153702139006,1.2181004524230956,0.051082104435448146,3500,2,1,,balanced,True,"{'n_estimators': 3500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'class_weight': 'balanced', 'bootstrap': True}",0.9457111834961998,0.9423913043478261,0.9543478260869566,0.9695652173913043,0.8282608695652174,0.9280552801775009,0.05077509184306646,4
3,45.45303168296814,1.8859424177777073,0.8817561149597168,0.18495831232661952,3500,2,2,,balanced,False,"{'n_estimators': 3500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'class_weight': 'balanced', 'bootstrap': False}",0.9457111834961998,0.9423913043478261,0.9576086956521739,0.9695652173913043,0.8239130434782609,0.9278378888731531,0.05283767772063499,5
