,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,param_kneighborsclassifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44,0.06206765174865723,0.006073549575582989,0.6189717292785645,0.0510885546527519,45,uniform,"{'kneighborsclassifier__n_neighbors': 45, 'kneighborsclassifier__weights': 'uniform'}",0.9074733096085409,0.890625,0.9021406727828746,0.9301587301587302,0.7893258426966292,0.8839447110493548,0.049026074786022375,26
40,0.056338930130004884,0.009030813974954888,0.6446868896484375,0.07823096263836302,41,uniform,"{'kneighborsclassifier__n_neighbors': 41, 'kneighborsclassifier__weights': 'uniform'}",0.9094076655052264,0.8919753086419753,0.9039039039039038,0.9331210191082803,0.7777777777777778,0.8832371349874327,0.0544030249193963,27
32,0.05446462631225586,0.007605423837126577,0.6075716495513916,0.027793204687896936,33,uniform,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'uniform'}",0.9081632653061225,0.9,0.9043478260869565,0.9333333333333333,0.7698630136986301,0.8831414876850084,0.05781218144903549,28
42,0.055348682403564456,0.006601320015340246,0.6040942192077636,0.04090758414547461,43,uniform,"{'kneighborsclassifier__n_neighbors': 43, 'kneighborsclassifier__weights': 'uniform'}",0.9087719298245615,0.8913043478260869,0.9033232628398792,0.9294871794871795,0.7827298050139275,0.8831233049983268,0.051693874706318435,29
34,0.06742072105407715,0.004976450674113245,0.7342051029205322,0.06663503676813325,35,uniform,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'uniform'}",0.9081632653061225,0.8975903614457831,0.9002932551319648,0.9361022364217252,0.7704918032786885,0.8825281843168569,0.05765753035522758,30
11,0.058145332336425784,0.010704526515506305,0.501215124130249,0.04292478899409835,11,distance,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'distance'}",0.9054878048780488,0.9053254437869822,0.9081081081081082,0.9382352941176471,0.7544757033248082,0.8823264708431189,0.06511790574915197,31
36,0.08308095932006836,0.02445431393953091,0.6486655712127686,0.07644960326915115,37,uniform,"{'kneighborsclassifier__n_neighbors': 37, 'kneighborsclassifier__weights': 'uniform'}",0.9075342465753424,0.8929663608562691,0.9053254437869822,0.9329073482428115,0.7726027397260274,0.8822672278374866,0.056347664997656303,32
22,0.057182693481445314,0.008322057815466978,0.5718395233154296,0.07262411753033705,23,uniform,"{'kneighborsclassifier__n_neighbors': 23, 'kneighborsclassifier__weights': 'uniform'}",0.9039735099337748,0.9011976047904192,0.899135446685879,0.9430379746835443,0.7613941018766756,0.8817477275940586,0.06231549648424883,33
14,0.05647735595703125,0.009312196751046293,0.5470675468444824,0.05355950134267927,15,uniform,"{'kneighborsclassifier__n_neighbors': 15, 'kneighborsclassifier__weights': 'uniform'}",0.9073482428115016,0.8945783132530121,0.9118457300275482,0.9386503067484663,0.753968253968254,0.8812781693617563,0.06525380452982085,34
18,0.05476255416870117,0.008485767124540102,0.5591244697570801,0.02707068800520627,19,uniform,"{'kneighborsclassifier__n_neighbors': 19, 'kneighborsclassifier__weights': 'uniform'}",0.9067524115755627,0.9039039039039038,0.9008498583569405,0.9485530546623794,0.7447916666666666,0.8809701790330907,0.07028216446581532,35
26,0.05525040626525879,0.008223698166023287,0.5675401210784912,0.028127412417252095,27,uniform,"{'kneighborsclassifier__n_neighbors': 27, 'kneighborsclassifier__weights': 'uniform'}",0.9036544850498339,0.9009009009009009,0.8985507246376812,0.9326923076923077,0.7675675675675676,0.8806731971696582,0.0578891645932005,36
16,0.054758214950561525,0.008009079556401599,0.533210039138794,0.035084457600782874,17,uniform,"{'kneighborsclassifier__n_neighbors': 17, 'kneighborsclassifier__weights': 'uniform'}",0.9096774193548387,0.8846153846153846,0.9126760563380282,0.9467084639498433,0.7486910994764397,0.8804736847469069,0.0687905520919456,37
28,0.054626846313476564,0.006618278686956663,0.5871582508087159,0.0480180588835762,29,uniform,"{'kneighborsclassifier__n_neighbors': 29, 'kneighborsclassifier__weights': 'uniform'}",0.8966666666666666,0.8966565349544073,0.9014492753623189,0.9331210191082803,0.7726027397260274,0.88009924716354,0.055445927322922604,38
9,0.052908802032470705,0.006932368080514825,0.46815667152404783,0.04221657471358316,9,distance,"{'kneighborsclassifier__n_neighbors': 9, 'kneighborsclassifier__weights': 'distance'}",0.9009009009009009,0.9112426035502958,0.907608695652174,0.9329446064139941,0.7474489795918368,0.8800291572218402,0.06715368659953784,39
20,0.05460829734802246,0.006540654848347784,0.5571677684783936,0.05451308454987662,21,uniform,"{'kneighborsclassifier__n_neighbors': 21, 'kneighborsclassifier__weights': 'uniform'}",0.9019607843137255,0.9033232628398792,0.9002849002849003,0.943217665615142,0.7493403693931399,0.8796253964893573,0.06709014606324616,40
24,0.05501875877380371,0.007256363023324181,0.5725122451782226,0.04675881479639645,25,uniform,"{'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'uniform'}",0.9013157894736842,0.9011976047904192,0.8985507246376812,0.9335443037974683,0.7621621621621621,0.879354116972283,0.059997488923029085,41
12,0.05442790985107422,0.009229467262936037,0.522347354888916,0.027123471915489764,13,uniform,"{'kneighborsclassifier__n_neighbors': 13, 'kneighborsclassifier__weights': 'uniform'}",0.9019607843137255,0.8982035928143712,0.8967391304347826,0.941358024691358,0.7573333333333333,0.8791189731175141,0.06309022521759795,42
7,0.05446019172668457,0.006711639266286917,0.4617584228515625,0.0337628957240014,7,distance,"{'kneighborsclassifier__n_neighbors': 7, 'kneighborsclassifier__weights': 'distance'}",0.8975903614457831,0.8985507246376812,0.9068493150684932,0.9273255813953488,0.7616580310880829,0.8783948027270778,0.05933984308869636,43
10,0.05629010200500488,0.007995808977062865,0.5451807022094727,0.03582099483725078,11,uniform,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'uniform'}",0.8980891719745223,0.8975903614457831,0.9035812672176309,0.9292307692307692,0.7493472584856397,0.8755677656708689,0.06416899425834306,44
6,0.05554556846618652,0.007445675214703332,0.49304656982421874,0.040173166795605994,7,uniform,"{'kneighborsclassifier__n_neighbors': 7, 'kneighborsclassifier__weights': 'uniform'}",0.8962264150943396,0.8924418604651163,0.9083333333333333,0.9212121212121213,0.7552631578947369,0.8746953775999294,0.0605605446401934,45
8,0.056536388397216794,0.008820383500799096,0.5193606376647949,0.04469367130969517,9,uniform,"{'kneighborsclassifier__n_neighbors': 9, 'kneighborsclassifier__weights': 'uniform'}",0.8984615384615384,0.9,0.90633608815427,0.9242424242424242,0.7409326424870466,0.873994538669056,0.06715833848619435,46
5,0.05454998016357422,0.0078194860746195,0.44093799591064453,0.024925528999493875,5,distance,"{'kneighborsclassifier__n_neighbors': 5, 'kneighborsclassifier__weights': 'distance'}",0.9009009009009009,0.9056047197640118,0.8897849462365591,0.9273255813953488,0.7348484848484849,0.8716929266290612,0.06950083477304818,47
4,0.05518693923950195,0.008161828975428323,0.4962619304656982,0.04897211361951642,5,uniform,"{'kneighborsclassifier__n_neighbors': 5, 'kneighborsclassifier__weights': 'uniform'}",0.9009287925696594,0.9035087719298246,0.888283378746594,0.9210526315789473,0.7251908396946565,0.8677928829039363,0.07206305185675826,48
3,0.0545809268951416,0.005645037644939599,0.451305627822876,0.060948975769015735,3,distance,"{'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'distance'}",0.8757062146892656,0.8953488372093024,0.8961748633879781,0.924198250728863,0.7233502538071066,0.8629556839645032,0.07149228546604448,49
2,0.05264573097229004,0.00865854073290095,0.4332902908325195,0.019136749572222774,3,uniform,"{'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'uniform'}",0.8721590909090909,0.8924418604651163,0.8904109589041096,0.9183673469387755,0.7193877551020408,0.8585534024638266,0.0711241613031715,50
1,0.05809431076049805,0.006034445906145299,0.3596839427947998,0.05129701480201752,1,distance,"{'kneighborsclassifier__n_neighbors': 1, 'kneighborsclassifier__weights': 'distance'}",0.8753623188405797,0.865546218487395,0.8810810810810811,0.9244186046511628,0.707196029776675,0.8507208505673786,0.07453786987762087,51
0,0.057532215118408205,0.008235037313620092,0.3710209846496582,0.03149911277830044,1,uniform,"{'kneighborsclassifier__n_neighbors': 1, 'kneighborsclassifier__weights': 'uniform'}",0.8753623188405797,0.865546218487395,0.8810810810810811,0.9244186046511628,0.707196029776675,0.8507208505673786,0.07453786987762087,51
