,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
98,29.867608499526977,0.1393991244632889,2.5179629802703856,0.29795342552310644,True,balanced_subsample,,auto,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
26,22.766852188110352,0.24210995529085738,2.342241144180298,0.08359015922612772,True,balanced,20,auto,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
16,22.615092325210572,0.11102502607205407,2.4733635902404787,0.006776935839666659,True,balanced,10,sqrt,4,5,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
24,22.407478046417236,0.09384526752159426,2.3603379249572756,0.010178030904101538,True,balanced,20,auto,4,2,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
17,22.696395206451417,0.20553439985951952,2.355990743637085,0.030609309768462916,True,balanced,10,sqrt,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
15,24.08390302658081,0.11985380103642185,2.2957308292388916,0.03259502945487237,True,balanced,10,sqrt,4,2,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
105,29.792322301864623,0.1984751423041687,2.4175809383392335,0.015782064609580437,True,balanced_subsample,,sqrt,4,2,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
106,29.84992423057556,0.16948907449920242,2.4260738849639893,0.018855186030059798,True,balanced_subsample,,sqrt,4,5,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
8,22.3415376663208,0.07533670241294303,2.4373095989227296,0.010641189780098655,True,balanced,10,auto,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
7,22.427532052993776,0.12400562233937645,2.416697645187378,0.031168965189388557,True,balanced,10,auto,4,5,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
